open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1735689600000,2025-01-01T00:00:00Z,3337.78000000,3349.34000000,3335.84000000,3348.50000000,1911.93380000,1735690499999,2025-01-01T00:14:59.999000Z,6390517.56947900,16634,1079.11480000,3607203.99676300
1735690500000,2025-01-01T00:15:00Z,3348.51000000,3353.37000000,3347.33000000,3349.43000000,1556.90740000,1735691399999,2025-01-01T00:29:59.999000Z,5215178.82352200,12166,947.31710000,3172988.51784700
1735691400000,2025-01-01T00:30:00Z,3349.43000000,3360.99000000,3349.01000000,3356.09000000,3503.66090000,1735692299999,2025-01-01T00:44:59.999000Z,11756659.67273600,12616,2299.97310000,7717270.31981100
1735692300000,2025-01-01T00:45:00Z,3356.09000000,3365.71000000,3353.89000000,3363.70000000,1921.94230000,1735693199999,2025-01-01T00:59:59.999000Z,6458915.94247400,12874,1121.12740000,3767565.94673800
1735693200000,2025-01-01T01:00:00Z,3363.69000000,3366.40000000,3355.00000000,3360.93000000,2063.93960000,1735694099999,2025-01-01T01:14:59.999000Z,6936856.60736600,13776,1273.88740000,4282109.65845300
1735694100000,2025-01-01T01:15:00Z,3360.92000000,3360.92000000,3351.11000000,3352.79000000,1130.82310000,1735694999999,2025-01-01T01:29:59.999000Z,3793787.31290100,9848,559.63170000,1877405.29603700
1735695000000,2025-01-01T01:30:00Z,3352.80000000,3358.28000000,3352.38000000,3352.46000000,1134.60650000,1735695899999,2025-01-01T01:44:59.999000Z,3806769.16775900,11292,655.64980000,2199810.98709300
1735695900000,2025-01-01T01:45:00Z,3352.46000000,3354.30000000,3342.67000000,3346.54000000,1808.76840000,1735696799999,2025-01-01T01:59:59.999000Z,6057567.52712000,11806,892.45870000,2989238.33217400
1735696800000,2025-01-01T02:00:00Z,3346.54000000,3354.57000000,3346.35000000,3354.32000000,1313.63160000,1735697699999,2025-01-01T02:14:59.999000Z,4401911.75220000,12498,794.04930000,2660728.23996200
1735697700000,2025-01-01T02:15:00Z,3354.32000000,3354.32000000,3349.00000000,3349.94000000,1113.82520000,1735698599999,2025-01-01T02:29:59.999000Z,3732560.05812600,9302,586.38620000,1965087.67371400
1735698600000,2025-01-01T02:30:00Z,3349.94000000,3360.01000000,3349.93000000,3357.78000000,3003.93910000,1735699499999,2025-01-01T02:44:59.999000Z,10084971.41055100,11214,1660.91450000,5575190.40430600
1735699500000,2025-01-01T02:45:00Z,3357.79000000,3368.42000000,3354.93000000,3362.61000000,3344.41410000,1735700399999,2025-01-01T02:59:59.999000Z,11241976.37044800,11912,1708.64900000,5744027.16834200
1735700400000,2025-01-01T03:00:00Z,3362.61000000,3363.72000000,3358.59000000,3359.68000000,1366.18860000,1735701299999,2025-01-01T03:14:59.999000Z,4591992.25679600,6942,737.95440000,2480190.09036100
1735701300000,2025-01-01T03:15:00Z,3359.69000000,3359.69000000,3351.64000000,3354.51000000,1034.71910000,1735702199999,2025-01-01T03:29:59.999000Z,3472181.74920300,5779,501.02430000,1681158.62084900
1735702200000,2025-01-01T03:30:00Z,3354.51000000,3357.15000000,3352.00000000,3355.95000000,876.75360000,1735703099999,2025-01-01T03:44:59.999000Z,2941221.70489500,5605,412.63830000,1384123.13949300
1735703100000,2025-01-01T03:45:00Z,3355.95000000,3356.47000000,3351.00000000,3355.20000000,747.80330000,1735703999999,2025-01-01T03:59:59.999000Z,2508649.44263200,4008,468.94390000,1573259.70122100
1735704000000,2025-01-01T04:00:00Z,3355.20000000,3356.61000000,3348.19000000,3349.10000000,1067.88960000,1735704899999,2025-01-01T04:14:59.999000Z,3579524.36165500,5192,541.93330000,1816684.24530500
1735704900000,2025-01-01T04:15:00Z,3349.09000000,3351.69000000,3346.03000000,3348.21000000,1242.72680000,1735705799999,2025-01-01T04:29:59.999000Z,4160860.84596300,5195,586.12400000,1962288.56715400
1735705800000,2025-01-01T04:30:00Z,3348.21000000,3350.36000000,3344.45000000,3345.51000000,830.87640000,1735706699999,2025-01-01T04:44:59.999000Z,2780732.13993300,5485,438.67550000,1468177.80560800
1735706700000,2025-01-01T04:45:00Z,3345.51000000,3347.34000000,3339.45000000,3341.14000000,1485.15780000,1735707599999,2025-01-01T04:59:59.999000Z,4967044.54741800,6469,764.94030000,2558546.36145500
1735707600000,2025-01-01T05:00:00Z,3341.14000000,3348.13000000,3340.02000000,3346.80000000,787.53810000,1735708499999,2025-01-01T05:14:59.999000Z,2633907.41822600,5785,492.47320000,1646920.60345700
1735708500000,2025-01-01T05:15:00Z,3346.79000000,3351.18000000,3345.33000000,3350.01000000,691.54220000,1735709399999,2025-01-01T05:29:59.999000Z,2315365.72099000,6475,458.30030000,1534555.49486300
1735709400000,2025-01-01T05:30:00Z,3350.01000000,3351.57000000,3344.32000000,3348.09000000,1004.63260000,1735710299999,2025-01-01T05:44:59.999000Z,3363204.95093400,4584,480.26270000,1607951.96667400
1735710300000,2025-01-01T05:45:00Z,3348.08000000,3349.35000000,3344.88000000,3345.41000000,763.34920000,1735711199999,2025-01-01T05:59:59.999000Z,2554913.44331400,4544,462.96770000,1549511.48978000
1735711200000,2025-01-01T06:00:00Z,3345.41000000,3348.00000000,3339.01000000,3341.49000000,1052.76640000,1735712099999,2025-01-01T06:14:59.999000Z,3519194.34599600,6645,494.93690000,1654398.02999300
1735712100000,2025-01-01T06:15:00Z,3341.49000000,3345.33000000,3340.84000000,3344.00000000,992.83560000,1735712999999,2025-01-01T06:29:59.999000Z,3319024.34819600,6087,548.40490000,1833146.24544500
1735713000000,2025-01-01T06:30:00Z,3344.00000000,3344.48000000,3336.88000000,3344.48000000,3651.98010000,1735713899999,2025-01-01T06:44:59.999000Z,12203350.08880800,8216,601.08290000,2008577.64652800
1735713900000,2025-01-01T06:45:00Z,3344.49000000,3346.61000000,3342.89000000,3346.60000000,627.56700000,1735714799999,2025-01-01T06:59:59.999000Z,2099126.83756500,4693,429.86170000,1437880.79506700
1735714800000,2025-01-01T07:00:00Z,3346.61000000,3346.61000000,3340.30000000,3341.26000000,3042.66300000,1735715699999,2025-01-01T07:14:59.999000Z,10170379.89417400,6262,2060.90230000,6888791.76054500
1735715700000,2025-01-01T07:15:00Z,3341.26000000,3344.93000000,3339.35000000,3341.59000000,862.27450000,1735716599999,2025-01-01T07:29:59.999000Z,2881853.48461700,5500,484.50220000,1619250.61616800
1735716600000,2025-01-01T07:30:00Z,3341.58000000,3345.47000000,3341.03000000,3344.02000000,718.10430000,1735717499999,2025-01-01T07:44:59.999000Z,2400825.56016700,3558,437.30130000,1462090.17641200
1735717500000,2025-01-01T07:45:00Z,3344.03000000,3350.49000000,3343.31000000,3347.12000000,1246.37930000,1735718399999,2025-01-01T07:59:59.999000Z,4172009.29464600,4489,956.31950000,3201348.93654500
1735718400000,2025-01-01T08:00:00Z,3347.11000000,3348.84000000,3345.00000000,3347.23000000,700.26920000,1735719299999,2025-01-01T08:14:59.999000Z,2343472.07556300,4774,269.81850000,902973.41990200
1735719300000,2025-01-01T08:15:00Z,3347.23000000,3348.30000000,3331.56000000,3337.85000000,2619.06980000,1735720199999,2025-01-01T08:29:59.999000Z,8741645.90128700,13043,1071.32000000,3575619.68476200
1735720200000,2025-01-01T08:30:00Z,3337.85000000,3342.66000000,3336.84000000,3339.69000000,2298.97640000,1735721099999,2025-01-01T08:44:59.999000Z,7678957.19453200,15038,1026.35350000,3427902.93063400
1735721100000,2025-01-01T08:45:00Z,3339.70000000,3340.10000000,3333.30000000,3337.01000000,2851.65970000,1735721999999,2025-01-01T08:59:59.999000Z,9514692.35851400,13197,1470.44340000,4905938.71826400
1735722000000,2025-01-01T09:00:00Z,3337.00000000,3341.00000000,3330.90000000,3334.29000000,1999.09410000,1735722899999,2025-01-01T09:14:59.999000Z,6668499.10406400,15036,1046.75590000,3491323.12962300
1735722900000,2025-01-01T09:15:00Z,3334.30000000,3334.35000000,3313.88000000,3322.34000000,13264.52810000,1735723799999,2025-01-01T09:29:59.999000Z,44050932.92695100,39995,5788.60800000,19223255.64910300
1735723800000,2025-01-01T09:30:00Z,3322.38000000,3329.25000000,3319.60000000,3327.16000000,1827.25940000,1735724699999,2025-01-01T09:44:59.999000Z,6075068.75583000,17215,817.40840000,2717439.39337000
1735724700000,2025-01-01T09:45:00Z,3327.16000000,3335.00000000,3324.22000000,3334.64000000,1631.81080000,1735725599999,2025-01-01T09:59:59.999000Z,5434921.14829700,11176,861.47660000,2869941.06206400
1735725600000,2025-01-01T10:00:00Z,3334.83000000,3338.82000000,3328.55000000,3330.10000000,1670.79860000,1735726499999,2025-01-01T10:14:59.999000Z,5570661.37082900,10512,617.44440000,2059526.58242000
1735726500000,2025-01-01T10:15:00Z,3330.10000000,3336.40000000,3329.58000000,3332.96000000,2054.68600000,1735727399999,2025-01-01T10:29:59.999000Z,6846905.73787800,9115,749.95120000,2499721.72813200
1735727400000,2025-01-01T10:30:00Z,3332.96000000,3337.29000000,3328.60000000,3330.92000000,874.72750000,1735728299999,2025-01-01T10:44:59.999000Z,2915715.18240400,8742,371.68040000,1238953.66435000
1735728300000,2025-01-01T10:45:00Z,3330.92000000,3331.98000000,3325.70000000,3326.69000000,1094.73810000,1735729199999,2025-01-01T10:59:59.999000Z,3644454.57155200,8987,384.84860000,1281251.81115800
1735729200000,2025-01-01T11:00:00Z,3326.69000000,3330.55000000,3323.71000000,3329.52000000,1961.28510000,1735730099999,2025-01-01T11:14:59.999000Z,6527369.46714300,12989,1345.68990000,4479114.97903500
1735730100000,2025-01-01T11:15:00Z,3329.51000000,3335.60000000,3329.51000000,3335.60000000,1388.54540000,1735730999999,2025-01-01T11:29:59.999000Z,4627858.24393000,9381,944.60090000,3148269.94161000
1735731000000,2025-01-01T11:30:00Z,3335.60000000,3342.80000000,3334.41000000,3342.75000000,2163.17530000,1735731899999,2025-01-01T11:44:59.999000Z,7221362.57894000,10466,1460.48920000,4875513.54243800
1735731900000,2025-01-01T11:45:00Z,3342.76000000,3348.35000000,3339.81000000,3341.00000000,1219.57690000,1735732799999,2025-01-01T11:59:59.999000Z,4077866.33235700,11195,664.94420000,2223238.92835200
1735732800000,2025-01-01T12:00:00Z,3341.01000000,3344.27000000,3338.58000000,3341.82000000,958.73630000,1735733699999,2025-01-01T12:14:59.999000Z,3204459.92946100,8377,478.70490000,1599974.64801600
1735733700000,2025-01-01T12:15:00Z,3341.81000000,3351.54000000,3341.57000000,3350.75000000,2065.99020000,1735734599999,2025-01-01T12:29:59.999000Z,6915903.61952700,11987,1380.68770000,4622026.31663800
1735734600000,2025-01-01T12:30:00Z,3350.74000000,3352.31000000,3344.93000000,3347.62000000,1897.36370000,1735735499999,2025-01-01T12:44:59.999000Z,6355069.41307100,9818,953.66280000,3194379.08303700
1735735500000,2025-01-01T12:45:00Z,3347.63000000,3348.74000000,3344.32000000,3347.46000000,944.80510000,1735736399999,2025-01-01T12:59:59.999000Z,3161618.92733400,11470,591.88200000,1980639.54418700
1735736400000,2025-01-01T13:00:00Z,3347.46000000,3353.50000000,3337.41000000,3338.83000000,2118.93180000,1735737299999,2025-01-01T13:14:59.999000Z,7091130.99103700,11042,903.81470000,3025694.30773500
1735737300000,2025-01-01T13:15:00Z,3338.83000000,3342.70000000,3332.51000000,3336.29000000,1844.41490000,1735738199999,2025-01-01T13:29:59.999000Z,6153938.04791600,13252,1042.08560000,3477320.27198500
1735738200000,2025-01-01T13:30:00Z,3336.28000000,3343.74000000,3334.63000000,3337.28000000,1155.82320000,1735739099999,2025-01-01T13:44:59.999000Z,3859878.72284600,7252,677.06090000,2260961.46977100
