open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1735689600000,2025-01-01T00:00:00Z,3337.78000000,3368.42000000,3335.84000000,3355.20000000,27833.85660000,1735703999999,2025-01-01T03:59:59.999000Z,93391717.36820800,168272,15699.71990000,52677358.09316400
1735704000000,2025-01-01T04:00:00Z,3355.20000000,3356.61000000,3336.88000000,3347.12000000,20068.28290000,1735718399999,2025-01-01T07:59:59.999000Z,67121317.28260200,89179,10238.98870000,34250120.74099900
1735718400000,2025-01-01T08:00:00Z,3347.11000000,3348.84000000,3313.88000000,3341.00000000,39620.20040000,1735732799999,2025-01-01T11:59:59.999000Z,131940382.95007100,210861,18891.83310000,62919985.16521700
1735732800000,2025-01-01T12:00:00Z,3341.01000000,3359.37000000,3328.20000000,3352.93000000,30899.74020000,1735747199999,2025-01-01T15:59:59.999000Z,103334828.87516500,238224,16491.40130000,55159262.28766500
1735747200000,2025-01-01T16:00:00Z,3352.93000000,3364.14000000,3323.03000000,3356.55000000,35964.85950000,1735761599999,2025-01-01T19:59:59.999000Z,120293277.72844900,288725,19546.11870000,65385926.55824600
1735761600000,2025-01-01T20:00:00Z,3356.56000000,3374.85000000,3352.00000000,3360.38000000,35851.64650000,1735775999999,2025-01-01T23:59:59.999000Z,120531871.49147000,186958,18649.96000000,62692605.44217100
1735776000000,2025-01-02T00:00:00Z,3360.39000000,3405.60000000,3354.50000000,3388.55000000,52198.49800000,1735790399999,2025-01-02T03:59:59.999000Z,176892089.21237300,313371,26691.21360000,90451552.29201400
1735790400000,2025-01-02T04:00:00Z,3388.54000000,3427.54000000,3388.00000000,3420.05000000,45379.19470000,1735804799999,2025-01-02T07:59:59.999000Z,154684017.92321200,238759,23335.77270000,79554424.54633400
1735804800000,2025-01-02T08:00:00Z,3420.06000000,3476.00000000,3414.21000000,3471.18000000,51457.63210000,1735819199999,2025-01-02T11:59:59.999000Z,177588626.59773300,320702,26301.64260000,90767951.38806600
1735819200000,2025-01-02T12:00:00Z,3471.18000000,3509.99000000,3440.38000000,3463.51000000,100117.95800000,1735833599999,2025-01-02T15:59:59.999000Z,347734703.39330000,670037,49218.81430000,170986893.14161900
